uid,group,label_raw,label,text_min,model_pred,provisional_category,annotator
52858538ca0aaca9,bangla_script,5,positive,"অর্ডার করলাম ২০০ গ্রামের আসলো ১০০ গ্রাম , এখন রিটার্ন ব্যাক করতে আমার এখন আবার ৭০ টাকা খরচ হচ্ছে, ফালতু, সবার কাছে অনুরোধ থাকলো কেউ এ সেলার থেকে কোন পণ্য অর্ডার করবেন না",negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
4509f474193dc179,romanized_codemixed,5,positive,product peyechi time moto. kinto battery lagano nei. Alada vabe battery kinlam. kinto On hocche na.. product ta ki nosto???,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
854be00502577630,bangla_script,4,positive,ব্যাগ টা সুন্দর। কিন্তু মেইন কথা হলো ব্যাগের ভেতরে কোনো চেইন সিস্টেম নেই।ছোট একটা চেইন আছে।ফোন রাখা যাবে না এই খোলা ব্যাগে।চেইন না থাকার কারণে ফোন জিনিস পত্র রিস্কি হয়ে যাবে।,negative,C_mixed_or_ambiguous,"Claude (provisional, needs human check)"
0b9164791f01082a,bangla_script,5,positive,"প্যাকেজিং ভালো ছিল না, মধু পরে গেছে। ম্যাচের কাঠি মধুতে ডুবানোর পর আগুন এর কাছে নিয়ে গেলে তা জ্বলেছিল, এতে বলা যায় যে মধু কাঠি। সেলারকে অনুরোধ করছি প্যাকেজিং ভালো করার জন্য।",negative,C_mixed_or_ambiguous,"Claude (provisional, needs human check)"
1cd39d09f245c26f,english,5,positive,only one piece? is your mistake either my mistak? what to do now,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
1e0b0ec63ee28c84,english,5,positive,"I don't get phantom power to microphone divice contact cable. Please check and let me know what you will do, take necessary action.",negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
3e817de8ff55f8ca,english,5,positive,I didn't get what I wanted,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
b23c72ffa8ef00b6,bangla_script,5,positive,একদমই বাজে প্রডাক্ট। কিনবেন তো ঠকবেন।বি টিভির মত জিরজির করে।লেনস খুবই জঘন্য। সবমিলিয়ে আমি খুবই বিরক্ত। আমার টাকাগুলো জলে গেল।,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
f783a02d36868a31,english,3,negative,Nice but quality better kortay hobay,positive,B_3star_boundary,"Claude (provisional, needs human check)"
d746ea1427cb6c49,romanized_codemixed,2,negative,This products real price is 254tk.,positive,C_mixed_or_ambiguous,"Claude (provisional, needs human check)"
7ba433d7057953e0,bangla_script,5,positive,তিনটা নিয়েছিলাম একটা নষ্ট পাইছি,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
da111caddc699c7b,english,3,negative,could be better,positive,B_3star_boundary,"Claude (provisional, needs human check)"
269294d8f9758d05,romanized,5,positive,uptan ta khulei Dekhi fata half porei gese r half chilo,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
795e9a6511be19cc,bangla_script,1,negative,আলহামদুলিল্লাহ খুব ভাল সবাই ঠিক ছিল,positive,A_label_contradicts_text,"Claude (provisional, needs human check)"
38e95e19b96e8084,bangla_script,5,positive,পুরাই ফালতু। বাজে একটা গন্ধ। বাজে তেল দিয়ে ভাজা হইছে।,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
931f2fedf0ccf6d2,english,4,positive,fan is not that speedy.,negative,C_mixed_or_ambiguous,"Claude (provisional, needs human check)"
7458dd71b8d3c5a1,bangla_script,1,negative,আলহামদুলিল্লাহ অনেক ভালো যা চাইছি তাই পাইছি৷ ধন্যবাদ দারাজ,positive,A_label_contradicts_text,"Claude (provisional, needs human check)"
6cc5ad8389d64e18,bangla_script,5,positive,চাপটার জায়গায় তিনটা দিছে দাম নিয়েছেন চারটার পাঠাইছেন তিনটা বাটপারি করার জায়গা পান না কেউ কিনবেন না ফালতু,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
53d85c9c57a1662a,bangla_script,1,negative,দাম হিসেবে কোয়ালিটি নরমাল তবে সুন্দর,positive,C_mixed_or_ambiguous,"Claude (provisional, needs human check)"
5621150482c788ac,english,3,negative,not like the original but still good,positive,B_3star_boundary,"Claude (provisional, needs human check)"
158ca26c44042027,bangla_script,5,positive,দারাজ মল এত বাজে ভাবে প্যাকেট করেছে যে আমার বক্সের মুখ ভেংগে গেছে। ছি এমন কিপটামি করার কি দরকার ছিল?? দাম তো আর কম নেন নাই.....,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
279195fc05cef7bb,english,3,negative,"The seller was good. But i had received wrong product and later the seller helps me to returned that,and he gave me the money back. Thanks seller, he is responsible and great honor for him. Thanks draz for making such space to buye authentic things and products from all over the world.",positive,B_3star_boundary,"Claude (provisional, needs human check)"
4bfc7fcc7b6380e5,romanized_codemixed,5,positive,very bad vabsilam valo hobe 😡,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
70e1f873cfac6ee4,bangla_script,5,positive,পরিমানে বেশি দিতে হয়। মান আরো ভালো করতে হবে।,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
12e633cd750dbe07,english,5,positive,"𝖿𝖺𝖻𝗋𝗂𝖼 𝗊𝗎𝖺𝗅𝗂𝗍𝗒 𝗂𝗌 𝗇𝗈𝗍, very poor quality you should improved the fabric quality and design.",negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
faa2b55100a1a82f,bangla_script,1,negative,এটা ভালো ছিল ধন্যবাদ,positive,A_label_contradicts_text,"Claude (provisional, needs human check)"
841ce5a1cba87f15,bangla_script,5,positive,এটা তো একটা খেলনা কিবোর্ড । কম্পিউটারে চলেনা।,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
fa3dba9c3d8452df,romanized,4,positive,1 ta packet chera chilo,negative,C_mixed_or_ambiguous,"Claude (provisional, needs human check)"
b583941b82ecc177,bangla_script,5,positive,কি বলবো নষ্ট জিনিস দিয়ে দারাজ বিজনেস করে। এইটা কোন লাইন পায়না। আমার টাকাটাই বেথ্যা গেলো।কি ভাবে ফেরত দেওয়া যায় যানালে উপকৃত হব।,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
b6a409ea63241118,bangla_script,1,negative,আলহামদুলিল্লাহ টিক সময়ের আগে জিনিসটা হাতে পেয়েছি খুব ভালো আপনারা চাইলে নিতে পারেন,positive,A_label_contradicts_text,"Claude (provisional, needs human check)"
15b54197e8d0187a,bangla_script,4,positive,"বইগুলো মোটামুটি ভাল, কারণ বইয়ের প্রথম পাতা ও লাস্ট পাতা লেমিনিটিং বাকিগুলো নরমাল কাগজের।।",negative,C_mixed_or_ambiguous,"Claude (provisional, needs human check)"
